Board,MCM,Bias
0,0,7.05
0,1,6.55
0,2,6.7
0,3,6.8
0,4,6.85
0,5,7.2
0,6,7.05
0,7,6.3
1,0,7.1
1,1,6.9
1,2,7.15
1,3,6.85
1,4,7.3
1,5,6.6
1,6,6.65
1,7,6.5
2,0,6.25
2,1,6.8
2,2,6.05
2,3,6.75
2,4,6.4
2,5,6.65
2,6,6
2,7,6.65
3,0,6.65
3,1,5.95
3,2,6.7
3,3,6.4
3,4,6.65
3,5,6.15
3,6,5.9
3,7,5.95
4,0,7
4,1,6.1
4,2,6
4,3,6.25
4,4,6.65
4,5,6.25
4,6,6.15
4,7,6.65
5,0,6.6
5,1,6.25
5,2,6.25
5,3,6.65
5,4,6.45
5,5,6.15
5,6,6.15
5,7,6.65
6,0,6.4
6,1,6.45
6,2,6.3
6,3,6.9
6,4,6.6
6,5,6.3
6,6,6.2
6,7,6.3
7,0,6.35
7,1,6.2
7,2,6.1
7,3,6.6
7,4,6.9
7,5,6.4
7,6,6.4
7,7,6.65
8,0,6.6
8,1,6.7
8,2,6.7
8,3,6.65
8,4,7.75
8,5,7.95
8,6,7.65
8,7,7.35
9,0,7.6
9,1,7.4
9,2,7.85
9,3,7.65
9,4,6.65
9,5,6.7
9,6,6.75
9,7,6.6
10,0,6.7
10,1,7.05
10,2,6.95
10,3,7
10,4,6.85
10,5,6.55
10,6,6.95
10,7,7.1
11,0,6.95
11,1,7
11,2,6.25
11,3,6.95
11,4,6.8
11,5,6.9
11,6,6.5
11,7,6.6
12,0,6.85
12,1,7.2
12,2,6.6
12,3,6.45
12,4,6.75
12,5,6.2
12,6,7.1
12,7,6.85
13,0,6.8
13,1,6.95
13,2,3
13,3,6.75
13,4,6.5
13,5,6.65
13,6,6.25
13,7,6.8
14,0,7.25
14,1,6.65
14,2,6.5
14,3,6.4
14,4,6.4
14,5,7.5
14,6,6.7
14,7,7.45
15,0,7.3
15,1,7.55
15,2,7.5
15,3,6.55
15,4,6.4
15,5,6.45
15,6,6.65
15,7,6.7
